date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:22	65596/65596	---M--	200	added ('OK')	font/woff	etag:%22c8ed53e32730c2ea31164faa503e3037%22	https://radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/700.woff	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Poppins/700.woff	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:23	40612/40612	---M--	200	added ('OK')	font/woff2	etag:%22d1eaf5ff6670f20eb315977ccb453f17%22	https://radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Rubik/regular.woff2	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Rubik/regular.woff2	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2019:47:24%20GMT	http://19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/Why-Choose-Us-Background-Image.png	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/Why-Choose-Us-Background-Image.1b.delayed	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:25	51756/51756	---M--	200	added ('OK')	font/woff	etag:%22b87352a26997e515d0fc517f0ff08f31%22	https://radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Rubik/regular.woff	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/_hcms/googlefonts/Rubik/regular.woff	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:27	201354/201354	---M--	200	added ('OK')	image/png	etag:%223847f96aa786bcb39e8838af4b956a14%22	https://19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/Why-Choose-Us-Background-Image.png	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/Why-Choose-Us-Background-Image.png	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:30	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2028%20Aug%202023%2019:47:27%20GMT	https://radiantthemes-19947038.hs-sites.com/consultix?hsLang=en	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultixc6eb	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2019:47:30%20GMT	http://19947038.fs1.hubspotusercontent-na1.net/hub/19947038/hubfs/raw_assets/public/consultix/images/logo.png?width=186&height=45&name=logo.png	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hub/19947038/hubfs/raw_assets/public/consultix/images/logo.1eee8e.delayed	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:32	1836/1836	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jun%202021%2013:49:48%20GMT	https://19947038.fs1.hubspotusercontent-na1.net/hub/19947038/hubfs/raw_assets/public/consultix/images/logo.png?width=186&height=45&name=logo.png	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hub/19947038/hubfs/raw_assets/public/consultix/images/logoee8e.png	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:37	61860/61860	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:23:10%20GMT	http://radiantthemes-19947038.hs-sites.com/consultix/about-our-company	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultix/about-our-company.html	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:39	82368/82368	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:23:12%20GMT	http://radiantthemes-19947038.hs-sites.com/consultix/company-overview	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultix/company-overview.html	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:41	60676/60676	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:23:13%20GMT	http://radiantthemes-19947038.hs-sites.com/consultix/frequently-asked-questions	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultix/frequently-asked-questions.html	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:42	49509/49509	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:23:13%20GMT	http://radiantthemes-19947038.hs-sites.com/consultix/software-research	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultix/software-research.html	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:44	51663/51663	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:23:14%20GMT	http://radiantthemes-19947038.hs-sites.com/consultix/business-services	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultix/business-services.html	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:47	54843/54843	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:23:15%20GMT	http://radiantthemes-19947038.hs-sites.com/consultix/landing	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultix/landing.html	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:48	64311/64311	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:23:16%20GMT	http://radiantthemes-19947038.hs-sites.com/consultix/blog	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultix/blog.html	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:51	64602/64602	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:23:17%20GMT	http://radiantthemes-19947038.hs-sites.com/consultix/blog/en/be-yourself-everyone-else-is-already-taken	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultix/blog/en/be-yourself-everyone-else-is-already-taken.html	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:52	45363/45363	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:23:18%20GMT	http://radiantthemes-19947038.hs-sites.com/consultix/contact-us	C:/Users/user/Desktop/site/Consultix_web/radiantthemes-19947038.hs-sites.com/consultix/contact-us.html	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2019:47:53%20GMT	http://19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/home-banner-one.jpg	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/home-banner-one.29.delayed	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2019:47:54%20GMT	http://19947038.fs1.hubspotusercontent-na1.net/hub/19947038/hubfs/raw_assets/public/consultix/images/Blue-Separator-Line-Image.png?width=28&height=4&name=Blue-Separator-Line-Image.png	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hub/19947038/hubfs/raw_assets/public/consultix/images/Blue-Separator-Line-Image0412.png	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:54	56128/56128	---M--	200	added ('OK')	image/jpeg	etag:%22da3960506d80efb97443ca1485f3adf6%22	https://19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/home-banner-one.jpg	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/home-banner-one.jpg	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:59	108/108	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jun%202021%2013:49:43%20GMT	https://19947038.fs1.hubspotusercontent-na1.net/hub/19947038/hubfs/raw_assets/public/consultix/images/Blue-Separator-Line-Image.png?width=28&height=4&name=Blue-Separator-Line-Image.png	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hub/19947038/hubfs/raw_assets/public/consultix/images/Blue-Separator-Line-Image0412.png	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:47:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2019:47:59%20GMT	http://19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/Financial-Planning-Icon.png	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/Financial-Planning-Icon.png	(from https://radiantthemes-19947038.hs-sites.com/consultix)
19:48:00	4261/4261	---M--	200	added ('OK')	image/png	etag:%22298d54187c36100a8f5ec7b3faae26f3%22	https://19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/Financial-Planning-Icon.png	C:/Users/user/Desktop/site/Consultix_web/19947038.fs1.hubspotusercontent-na1.net/hubfs/19947038/raw_assets/public/consultix/images/Financial-Planning-Icon.png	(from https://radiantthemes-19947038.hs-sites.com/consultix)
